flybase_id	rpkm2	rpkm6	rpkm8	rpkm10	gene_name	cgid	chr	start	stop	strand
FBgn0014135	1.2	15.13	6.71	1.46	bnl	CG4608	chr3R	15619795	15662539	-
FBgn0014141	6.07	15.67	30.16	92.41	cher	CG3937	chr3R	12917257	12944804	-
FBgn0014143	22.44	9.66	4.05	3.4	croc	CG5069	chr3L	21467135	21469656	-
FBgn0014163	612.05	936.46	667.5	92.02	fax	CG4609	chr3L	16396387	16404939	-
FBgn0014179	14.65	32.56	11.25	8	gcm	CG12245	chr2L	9579449	9581742	-
FBgn0014184	332.69	343.09	333.9	294.49	Oda	CG16747	chr2R	8054077	8061767	-
FBgn0014189	631.97	347.01	215.79	146.92	Hel25E	CG7269	chr2L	5539326	5542310	-
FBgn0014269	128.35	98.78	55.29	40.55	prod	CG18608	chr2R	14856910	14858656	-
FBgn0014340	32.09	23.76	21.24	16.42	mof	CG3025	chrX	5767868	5770884	-
FBgn0014342	7.66	9.03	4.91	1.87	mia	CG10390	chr3R	1374047	1376889	-
FBgn0014343	10.3	12.37	12.54	5.24	mirr	CG10601	chr3L	12686848	12703243	+
FBgn0014362	12.21	14.64	13.09	3.09	mub	CG7437	chr3L	21872710	21919801	+
FBgn0014366	125.21	70.93	53.81	46.49	noi	CG2925	chr3R	1415317	1417180	-
FBgn0014368	0.5	0.31	0.06	0.12	nol	CG32077	chr3L	11123935	11124506	+
FBgn0014380	8.81	44.35	19.98	28.66	RhoL	CG9366	chr3R	5322917	5328299	-
FBgn0014388	13.96	42.49	36.81	3.73	sty	CG1921	chr3L	3401137	3424935	-
FBgn0014391	70.22	69.99	64.01	103	sun	CG9032	chrX	15741454	15743273	-
FBgn0014395	4.32	0.85	1.16	0.76	tilB	CG14620	chrX	21851781	21853303	+
FBgn0014396	0.02	0.16	0.25	0.51	tim	CG3234	chr2L	3493986	3507303	-
FBgn0014411	56.09	33.69	27.83	19.3	Vps26	CG14804	chrX	1767896	1770514	+
FBgn0014417	12.48	7.94	11.23	18.85	CG13397	CG13397	chr2L	8409051	8411868	-
FBgn0014427	13.55	0.5	1.12	0.71	CG11899	CG11899	chr3R	25026174	25027492	+
FBgn0014454	0	0	0	0	Acp1	CG7216	chr2L	7740552	7741542	-
FBgn0014455	27.26	106.23	174.74	257.83	Ahcy13	CG11654	chrX	15344295	15346683	+
FBgn0014462	0.03	0.06	0.12	0.31	Cng	CG7779	chr2R	12130650	12137234	-
FBgn0014464	0	0.02	0	0.08	Cp7Fa	CG33962	chrX	8364921	8367120	+
FBgn0014465	0.06	0	0	0.01	Cp7Fb	CG15350	chrX	8367238	8370104	+
FBgn0014466	0.03	0.02	0.03	0	Cp7Fc	CG15351	chrX	8371150	8372353	+
FBgn0014467	19.54	26.79	26.22	13.84	CrebB-17A	CG6103	chrX	18260960	18270084	+
FBgn0014469	15.42	3.8	4.63	8.4	Cyp4e2	CG2060	chr2R	4332217	4334676	+
FBgn0014848	0	0	0	0	Eig71Eh	CG7594	chr3L	15652032	15652552	-
FBgn0014849	0	0	0	0	Eig71Ei	CG7327	chr3L	15652807	15653312	+
FBgn0014850	0	0.05	0	0	Eig71Ej	CG7588	chr3L	15653649	15654115	-
FBgn0014851	0	0.1	0	0	Eig71Ek	CG7325	chr3L	15654348	15654903	+
FBgn0014857	561.23	905.4	567.43	433.35	His3.3A	CG5825	chr2L	5055058	5056000	+
FBgn0014859	0.11	0.22	0.41	0.16	Hr38	CG1864	chr2L	20683462	20714589	-
FBgn0014861	128.26	36	14.68	10.83	Mcm2	CG7538	chr3R	4090565	4093653	+
FBgn0014863	1.92	13.84	11.12	43.56	Mlp84B	CG1019	chr3R	2939244	2943453	-
FBgn0014865	0	0.24	0.13	0	Mtk	CG8175	chr2R	11296351	11296621	+
FBgn0014868	258.25	193.94	147.83	174.99	Ost48	CG9022	chrX	9050955	9052544	-
FBgn0014869	62.52	25.26	29.49	113.48	Pglym78	CG1721	chr3R	24973970	24975977	+
FBgn0014870	75.22	86.3	73.58	27.78	Psi	CG8912	chr2R	12750470	12755218	-
FBgn0014877	22.81	40.32	51.93	90.28	Roe1	CG6155	chr2R	9441587	9443111	+
FBgn0014879	493.45	357.6	143.34	73.15	Set	CG4299	chr3R	11089257	11090975	+
FBgn0014903	3.75	4.56	5.67	7.58	CG14630	CG14630	chrX	925538	927152	+
FBgn0014906	22.22	26.75	40.59	43.57	Hydr2	CG3488	chr2L	3163647	3168999	+
FBgn0014930	10.23	16.86	12.44	16.02	CG2846	CG2846	chr3R	3737739	3738999	-
FBgn0014931	11.57	0.85	0.83	1.21	CG2678	CG2678	chr3R	3739579	3742178	+
FBgn0014949	3.33	13.78	10.33	6.41	btn	CG5264	chr3R	18411871	18412347	-
FBgn0014963	27.5	30.65	59.21	30.38	gpp	CG10272	chr3R	2232598	2271735	+
FBgn0015000	13.76	17.2	13.34	12.94	betaggt-I	CG3469	chr2L	4945598	4948321	+
FBgn0015001	0.35	0.72	0.57	1.31	iotaTry	CG7754	chr2R	7244227	7245041	+
FBgn0015008	0.06	0	0.02	0.02	Actn3	CG8953	chr3R	12801620	12803382	-
FBgn0015010	0	0.13	0.81	2.23	Ag5r	CG9538	chrX	14679126	14680266	-
FBgn0015011	3.88	7.7	16.48	20.94	Ahcy89E	CG8956	chr3R	12804161	12807905	-
FBgn0015014	102.11	98.03	74.27	51.31	tgo	CG11987	chr3R	4842492	4845739	-
FBgn0015019	96.83	146.9	203.15	281.68	Cctgamma	CG8977	chr3R	12473329	12475700	+
FBgn0015024	267.11	162.75	121.52	46.4	CkIalpha	CG2028	chrX	12547816	12551354	+
FBgn0015025	7.61	8.76	4.59	2.76	CkIIalpha-i1	CG6215	chr3L	15810093	15811714	+
FBgn0015031	292.89	312.4	264.5	373.43	cype	CG14028	chr2L	5327241	5328000	+
FBgn0015032	0.02	0.09	0.09	0.21	Cyp4c3	CG1438	chr3R	26719683	26726359	+
FBgn0015033	0.02	0.04	0.07	0.13	Cyp4d8	CG4321	chr3L	7486649	7489279	-
FBgn0015034	0.09	0.6	0.47	2.31	Cyp4e1	CG2062	chr2R	4334974	4337250	+
FBgn0015035	0.02	0.02	0	0.02	Cyp4e3	CG4105	chr2L	9747839	9750071	-
FBgn0015036	4.82	4.23	5.59	4.3	Cyp4ae1	CG10755	chrX	2072917	2075034	+
FBgn0015037	0.11	7.23	10.87	7.08	Cyp4p1	CG10842	chr2R	5127548	5129642	+
FBgn0015038	0.05	0.02	0	0.06	Cyp9b1	CG4485	chr2R	3015343	3017312	-
FBgn0015039	0.06	0.22	0.06	0.4	Cyp9b2	CG4486	chr2R	3017782	3019640	-
FBgn0015040	0.05	0.62	0.72	3.08	Cyp9c1	CG3616	chr2R	20518598	20520455	+
FBgn0015075	23.43	23.71	21.59	19.87	Ddx1	CG9054	chr3L	22256469	22259124	+
FBgn0015129	0.15	0.04	0.01	0.06	DopR2	CG18741	chr3R	25456026	25485706	-
FBgn0015218	79.47	146.98	165.09	186.87	eIF-4E	CG4035	chr3L	9392716	9395565	-
FBgn0015221	298.94	171.94	117.19	135.96	Fer2LCH	CG1469	chr3R	26213554	26216306	+
FBgn0015222	409.98	194.47	142.82	192.74	Fer1HCH	CG2216	chr3R	26211290	26213851	-
FBgn0015229	16.59	82.15	108.72	31.99	glec	CG6575	chr3R	17676627	17681984	-
FBgn0015230	0.06	0.05	0.1	0	Glut3	CG3853	chr3R	12614033	12615745	+
FBgn0015239	7.09	32.66	51.71	60.75	Hr78	CG7199	chr3L	21487117	21490582	-
FBgn0015240	4.92	8.13	13.43	12.49	Hr96	CG11783	chr3R	20850961	20855075	+
FBgn0015245	35.61	197.06	351.8	548.32	Hsp60	CG12101	chrX	11002506	11006341	+
FBgn0015247	36.01	38.93	38.96	53.7	Iap2	CG8293	chr2R	11819675	11822330	-
FBgn0015268	223.68	250.43	288.35	276.36	Nap1	CG5330	chr2R	19792696	19794837	-
FBgn0015269	7.3	9	12.19	5.5	Nf1	CG8318	chr3R	21808735	21820876	+
FBgn0015270	32.24	6.2	2.87	1.52	Orc2	CG3041	chr3R	9790639	9792803	+
FBgn0015271	44.79	15.29	5.79	4.46	Orc5	CG7833	chr2L	13829691	13831576	+
FBgn0015277	14.78	6.16	6.56	7.52	Pi3K59F	CG5373	chr2R	19448017	19451570	+
FBgn0015278	16.7	9.95	9.27	5.93	Pi3K68D	CG11621	chr3L	11767750	11783108	-
FBgn0015279	20.46	43.17	40.59	30.52	Pi3K92E	CG4141	chr3R	16454694	16460430	-
FBgn0015282	185	125.25	79.45	82.16	Pros26.4	CG5289	chr3R	19755595	19757247	-
FBgn0015283	106.74	114.42	83.37	83.25	Pros54	CG7619	chr3L	21530100	21531683	+
FBgn0015286	23.48	31.29	18.34	6.06	Rala	CG2849	chrX	3599017	3613665	-
FBgn0015288	1133.07	1600.29	2032.39	2526.61	RpL22	CG7434	chrX	656593	659172	-
FBgn0015295	15.96	28.27	24.63	24.15	shark	CG18247	chr2R	12086928	12090388	-
FBgn0015296	38.72	47.92	28.7	27.22	Shc	CG3715	chr3L	9420100	9421779	+
FBgn0015298	35.83	54.84	69.94	104.83	Srp19	CG4457	chr3L	7340410	7341125	-
FBgn0015299	51.63	103.09	40.52	23.94	Ssb-c31a	CG8396	chr2L	8211347	8211938	+
FBgn0015300	0	0	0	0	Ssl	CG13591	chr2R	20386766	20387754	-
FBgn0015316	2.01	2.18	1.46	2.28	Try29F	CG9564	chr2L	8998537	8999468	+
FBgn0015320	168.98	28.81	19.64	8.74	UbcD2	CG6720	chr2L	10765562	10768005	-
FBgn0015321	128.18	8.76	8.85	29.22	UbcD4	CG8284	chr3L	9691442	9693581	+
FBgn0015323	0.04	0.43	0.79	0.67	VAChT	CG32848	chr3R	14531174	14544638	+
FBgn0015324	145.23	72.89	71.15	58.62	Vha26	CG1088	chr3R	1417453	1420429	+
FBgn0015331	38.31	49.21	34.77	26.65	abs	CG14637	chr3R	58765	60763	+
FBgn0015336	0.03	0.04	0.03	0.05	CG15865	CG15865	chrX	16554926	16558488	-
FBgn0015338	47.49	56.79	41.28	46.62	CG5861	CG5861	chr2L	16305786	16307275	-
FBgn0015350	0.12	0.05	0	0.03	CG10349	CG10349	chr3R	12705450	12710832	+
FBgn0015351	10.71	11.89	17.77	20.43	CG14906	CG14906	chr3R	12475702	12477997	-
FBgn0015359	41.6	4.57	6.87	28.56	CG2034	CG2034	chr3L	2257669	2258922	+
FBgn0015360	42.3	15.94	17.43	16.52	oxt	CG32300	chr3L	2258837	2262661	-
FBgn0015371	32.65	60.26	31.58	6.97	chn	CG11798	chr2R	11002762	11032288	+
FBgn0015372	25.58	10.09	6.93	8.52	chrw	CG3870	chr2R	19407362	19411096	-
FBgn0015374	71.87	71.11	44.92	50.59	crl	CG4443	chrX	16487712	16489453	+
FBgn0015376	12.35	4.33	2.06	2.06	cutlet	CG33122	chr2L	3707226	3711674	-
FBgn0015379	112.14	87.95	78.89	76.08	dod	CG17051	chrX	21216375	21217885	+
FBgn0015380	7.34	68.22	50	49.08	drl	CG17348	chr2L	19190346	19208615	+
FBgn0015381	0.02	0.06	0.11	0.22	dsf	CG9019	chr2L	5925937	5938767	+
FBgn0015391	99.23	39.63	10.17	3.44	glu	CG11397	chr2L	16733617	16738372	-
FBgn0015393	131.57	535.04	577.68	538.87	hoip	CG3949	chr2L	9699834	9700465	+
FBgn0015396	80.53	66.51	19.2	5.91	jumu	CG4029	chr3R	6175906	6187343	+
FBgn0015399	12.69	47.46	21.53	4.67	kek1	CG12283	chr2L	12818930	12822787	-
FBgn0015400	0.8	1.37	1.73	0.85	kek2	CG4977	chr2L	11621819	11626136	+
FBgn0015402	33.27	28.3	26.74	20.54	ksr	CG2899	chr3R	1305871	1309607	-
FBgn0015477	27.44	13.3	20.06	11.31	Rme-8	CG8014	chr2R	5055261	5064685	-
FBgn0015509	234.68	108.73	99.55	82.43	lin19	CG1877	chr2R	3804361	3808482	+
FBgn0015513	26.13	126.3	170.48	115.16	mbc	CG10379	chr3R	19607508	19627396	+
FBgn0015519	0.04	0.67	0.43	0.14	nAcRalpha-7E	CG2302	chrX	8176830	8223711	-
FBgn0015520	48.09	16.24	11.77	8.68	nonA-l	CG10328	chr3R	12465929	12468541	+
FBgn0015521	677.16	959.08	1038.66	1478.27	oho23B	CG2986	chr2L	2856070	2857041	+
FBgn0015522	13.41	0.91	1.11	2.17	olf186-M	CG14489	chr2R	13734206	13735949	+
FBgn0015524	0.08	1.99	2.77	2.42	otp	CG10036	chr2R	16771116	16790900	-
FBgn0015527	135.85	153.78	136.5	128.06	pen	CG1685	chrX	21217530	21220866	-
FBgn0015541	0.19	1.22	1.92	2.86	sda	CG5518	chr3R	22741455	22771035	+
FBgn0015542	45.86	53.92	77.94	48.93	sima	CG7951	chr3R	25884037	25947101	+
FBgn0015543	1.3	5.39	3.43	1.37	snoRNA:Me28S-A1322	CR32905	chr2R	7780628	7780700	+
FBgn0015544	19.04	22.54	15.6	12.58	spag	CG13570	chr2R	20046888	20049021	+
FBgn0015546	40.47	16.32	4.26	1.57	spel1	CG4215	chr2L	14362068	14365568	+
FBgn0015550	0.12	26.91	25.87	14.29	tap	CG7659	chr3L	17352750	17354921	+
FBgn0015553	22.86	4.97	3.08	1.49	tos	CG10387	chr2L	18679630	18682155	-
FBgn0015558	14.7	19.58	13.33	6.22	tty	CG1693	chrX	21202369	21209988	-
FBgn0015561	1.57	3.01	2.23	2.29	unpg	CG1650	chr2R	5082719	5087377	+
FBgn0015562	24.96	9.86	6.96	4.97	veg	CG6657	chr2R	12842969	12844826	+
FBgn0015565	17.16	0.47	0.63	2.16	yin	CG2913	chrX	3756996	3762359	-
FBgn0015567	16.9	29.63	26.05	16.18	alpha-Adaptin	CG4260	chr2L	408022	414775	-
FBgn0015568	6.65	8.19	3.85	7.99	alpha-Est1	CG1031	chr3R	3371449	3374844	-
FBgn0015569	1.64	0.6	0.51	2.52	alpha-Est10	CG1131	chr3R	3312305	3317278	-
FBgn0015570	0.73	0.47	0.38	0.97	alpha-Est2	CG2505	chr3R	3368466	3370952	+
FBgn0015571	2.49	0.94	1.33	1.62	alpha-Est3	CG1257	chr3R	3364694	3367349	-
FBgn0015572	0.13	0.38	0.31	0.82	alpha-Est4	CG1082	chr3R	3362409	3364333	-
FBgn0015574	1.05	0.24	0.14	0.04	alpha-Est6	CG1108	chr3R	3350286	3354499	-
FBgn0015575	0.19	2.33	3.33	14.96	alpha-Est7	CG1112	chr3R	3345284	3349476	-
FBgn0015576	0.02	0.69	0.69	2.87	alpha-Est8	CG1121	chr3R	3335065	3341391	-
FBgn0015577	0.06	0.25	0.12	0.29	alpha-Est9	CG1128	chr3R	3320793	3323086	-
FBgn0015582	4.53	11.65	15.01	25.4	dare	CG12390	chr2R	7178490	7180676	-
FBgn0015583	0.04	0.03	0	0	Acp29AB	CG17797	chr2L	8392466	8393239	-
FBgn0015584	0	0	0.24	0.07	Acp53Ea	CG8622	chr2R	12637307	12637827	-
FBgn0015585	0	0.07	0	0.21	Acp63F	CG10852	chr3L	3815923	3816354	-
FBgn0015586	0	0.06	0.06	0.2	Acp76A	CG3801	chr3L	19043891	19045126	-
FBgn0015589	3.31	17.44	51.91	42.91	Apc	CG1451	chr3R	24658022	24670372	-
FBgn0015591	0.31	0.12	0.02	0.34	Ast	CG13633	chr3R	20586252	20590780	-
FBgn0015600	14.37	1	3.22	3.4	toc	CG9660	chr2L	3068339	3144613	-
FBgn0015602	82.82	72.47	36.25	30.17	BEAF-32	CG10159	chr2R	10657975	10660135	+
FBgn0015609	27.81	39.72	35.11	12.34	CadN	CG7100	chr2L	17649866	17739521	-
FBgn0015610	303.57	75.22	35.04	23.45	Caf1	CG4236	chr3R	11051289	11053286	+
FBgn0015614	35.3	5.82	3.82	18.12	CanB2	CG11217	chr2R	3673517	3675640	+
FBgn0015615	38.17	41.18	25.42	17.67	Cap	CG9802	chrX	16483035	16487462	-
FBgn0015617	32.49	12.39	6.49	5.09	Cdk7	CG3319	chrX	5201499	5202961	-
FBgn0015618	29.48	14.22	8.03	6.65	Cdk8	CG10572	chr3L	9830185	9831750	-
FBgn0015621	43.2	15.74	8.51	7.79	Clp	CG3642	chr2L	819964	821209	+
FBgn0015622	93.48	152.9	138.22	132.56	Cnx99A	CG11958	chr3R	25140965	25145366	-
FBgn0015623	106.48	55.04	42.84	41.7	Cpr	CG11567	chr2L	6338772	6346282	+
FBgn0015624	79.16	37.6	35.36	9.07	nej	CG15319	chrX	9563240	9576909	-
FBgn0015625	544.81	182.23	64.52	27.91	CycB3	CG5814	chr3R	20694075	20696617	-
FBgn0015657	64.55	74.89	59.8	195.08	DnaJ-1	CG10578	chr3L	5743122	5745330	-
FBgn0015663	1.25	2.93	5.63	12.58	Dot	CG2788	chr2L	3619191	3621573	+
FBgn0015664	106.23	113.74	38.51	19.87	Dref	CG5838	chr2L	9964147	9967455	-
FBgn0015714	0.25	0.01	0.02	0	Cyp6a17	CG10241	chr2R	10761459	10763063	+
FBgn0015721	6.08	13.64	4.33	2.77	king-tubby	CG9398	chr2R	16989435	17011220	+
FBgn0015737	104.1	27.26	29.26	31.38	Hmu	CG3373	chr3R	23114493	23117312	+
FBgn0015754	49.35	49.75	44.59	25.89	Lis-1	CG8440	chr2R	12066309	12072612	+
FBgn0015756	1875.92	2514.91	2432.06	3536.27	RpL9	CG6141	chr2L	11002833	11004189	-
FBgn0015763	86.09	27.21	29.61	21.84	lic	CG12244	chrX	12985156	12988026	+
FBgn0015765	3.29	2.22	2.61	4.24	Mpk2	CG5475	chr3R	19976138	19977996	-
FBgn0015766	0.02	3.37	5.1	10.27	Msr-110	CG10596	chr3L	5560001	5570448	-
FBgn0015770	0	0	0	0	MstProx	CG1149	chr3R	3191661	3195027	-
FBgn0015772	17.64	13.9	11.47	8.26	Nak	CG10637	chr2L	18957900	18968721	-
FBgn0015773	58.76	12.23	11.29	12.56	NetA	CG18657	chrX	14498045	14547864	-
FBgn0015774	9.29	24.93	23.04	4.32	NetB	CG10521	chrX	14581645	14643407	-
FBgn0015776	29.69	24.88	31.94	58.65	nrv1	CG9258	chr2L	6778554	6786856	-
FBgn0015777	8.85	56.32	34.25	24.14	nrv2	CG9261	chr2L	6789761	6798864	-
FBgn0015778	135.24	128.83	160.96	21.49	rin	CG9412	chr3R	9472687	9478761	+
FBgn0015781	15.81	2.61	2.34	5.61	P5cr	CG6009	chr3R	14854659	14855881	+
FBgn0015789	145.89	112.41	91.98	85.94	Rab10	CG17060	chrX	20122451	20125717	+
FBgn0015790	167.89	126.47	132.02	107.07	Rab11	CG5771	chr3R	16937129	16941877	+
FBgn0015791	41.03	35.26	25.43	20.45	Rab14	CG4212	chr2L	14355147	14358400	+
FBgn0015793	12.03	14.09	10	14.37	Rab-RP3	CG7062	chr3L	8290272	8291605	+
FBgn0015794	10.11	42.9	31.36	41.92	Rab-RP4	CG3129	chrX	5564855	5565842	-
FBgn0015795	44.06	132.2	90.25	72.9	Rab7	CG5915	chr3R	19818732	19821266	+
FBgn0015796	76.07	54.84	40.2	28.11	Rab8	CG8287	chr3L	19860588	19864157	-
FBgn0015797	39.61	75.25	63.4	52.84	Rab6	CG6601	chr2L	12107287	12109124	-
FBgn0015799	36.19	40.53	34.75	25.62	Rbf	CG7413	chrX	691121	695490	-
FBgn0015801	1.38	1.48	2.38	10.63	Reg-5	CG2928	chr2R	20675526	20680929	-
FBgn0015803	17.47	25.38	15.67	13.44	rtGEF	CG10043	chr2L	20350436	20365254	+
FBgn0015805	427.82	216.88	70.41	48.95	Rpd3	CG7471	chr3L	4626717	4629467	+
FBgn0015806	31.22	65.83	74.75	18.28	S6k	CG10539	chr3L	5792049	5804057	-
FBgn0015808	8.28	31.21	47.97	39.03	ScpX	CG17320	chr2L	18831185	18833630	+
FBgn0015816	13.76	24.63	25.66	36.41	Slh	CG3539	chr2L	2490205	2492666	-
FBgn0015818	83.3	41.13	32.23	24.06	Spx	CG3780	chrX	6149866	6151452	+
FBgn0015828	50.73	36.44	29.36	27.75	TfIIEalpha	CG10415	chr3L	11675126	11676905	+
FBgn0015829	48.53	33.72	27.05	28.82	TfIIEbeta	CG1276	chr3L	4287038	4288349	+
FBgn0015831	1.8	1.56	0.45	0.28	Rtnl2	CG1279	chr3R	3355004	3355478	-
FBgn0015834	532.78	331.15	271.66	285.71	Trip1	CG8882	chr2L	4966367	4967778	-
FBgn0015838	25.7	80.21	63.47	25.95	Vang	CG8075	chr2R	4990749	4994301	+
FBgn0015844	23.33	8.69	7.94	4.9	Xpd	CG9433	chr2R	17058460	17062009	+
FBgn0015872	0.07	0.21	0.14	0.55	Drip	CG9023	chr2R	7299447	7317146	-
FBgn0015903	57.73	62.99	49.97	24.56	apt	CG5393	chr2R	19452420	19487223	+
FBgn0015904	0.06	7.2	7.8	6.44	ara	CG10571	chr3L	12573774	12589118	+
FBgn0015905	13.74	19.61	21.11	18.43	ast	CG4426	chr2L	1077980	1080809	+
FBgn0015907	260.73	290.01	131	81.62	bl	CG13425	chr2R	16475010	16494359	+
FBgn0015919	1.97	27.79	11.14	5.99	caup	CG10605	chr3L	12603226	12614908	+
FBgn0015924	20.65	42.85	23.8	12.96	crq	CG4280	chr2L	448254	453023	-
FBgn0015925	67.94	26.16	22.56	14.63	csul	CG3730	chr2R	12152180	12154464	+
FBgn0015926	96.24	7.88	1.61	1.46	dah	CG6157	chrX	15222379	15225035	+
FBgn0015929	127.12	41.67	17.27	15.39	dpa	CG1616	chr2R	3384206	3387379	-
FBgn0015946	0.64	3.99	8.34	1.71	grim	CG4345	chr3L	18295819	18297514	-
FBgn0015949	115.11	35.45	33.06	16.68	hrg	CG9854	chr2R	15551422	15557326	-
FBgn0016013	0.09	2.14	5.32	21.17	Faa	CG14993	chr3L	4072032	4073949	-
FBgn0016031	10.12	18.12	25.92	23.01	lama	CG10645	chr3L	5336715	5349023	-
FBgn0016032	0	10.12	11.92	38.1	lbm	CG2374	chr2R	2937301	2939470	+
FBgn0016034	39.02	22.58	25.95	28.63	mael	CG11254	chr3L	22717334	22719335	+
FBgn0016036	0.61	0.59	0.68	0.23	mei-P22	CG14827	chr3L	7237488	7238483	+
FBgn0016038	23.05	14.14	16.61	18.44	mod(r)	CG17828	chrX	515569	517081	+
FBgn0016041	96.85	65.22	81.48	67.37	Tom40	CG12157	chrX	7630922	7633622	+
FBgn0016047	0.02	0.88	0.94	5.34	nompA	CG13207	chr2R	7197953	7206180	-
FBgn0016053	32.47	2.34	1.93	3.36	pgc	CG32885	chr2R	18217658	18220320	+
FBgn0016054	18.8	18.26	18.27	10.64	phr6-4	CG2488	chr2L	20643348	20645789	-
FBgn0016059	62.83	78.91	78.69	47.56	Sema-1b	CG6446	chr2R	13560344	13571000	-
FBgn0016061	0.86	6.23	10.07	4.46	side	CG31062	chr3R	23202304	23244247	-
FBgn0016070	167.25	14.54	9.97	5.95	smg	CG5263	chr3L	8983637	8991089	-
FBgn0016075	0.19	70.88	45.55	86.45	vkg	CG16858	chr2L	5012144	5027412	-
FBgn0016076	0.42	9.21	9.22	20.38	vri	CG14029	chr2L	5299647	5310996	+
FBgn0016078	15.24	12.42	12.46	17.8	wun	CG8804	chr2R	5288052	5300965	-
FBgn0016080	5.98	2.85	2.72	2.3	xmas-1	CG32561	chrX	17045264	17048625	-
FBgn0016081	14.02	10.21	15.33	15.13	fry	CG32045	chr3L	9624934	9672203	-
FBgn0016119	343.47	140.43	142.69	300.17	ATPsyn-Cf6	CG4412	chr3R	19180973	19181782	-
FBgn0016120	300.98	206.27	221.89	371.56	ATPsyn-d	CG6030	chr3R	14920720	14921792	+
FBgn0016122	67.39	91.64	111.64	186.33	Acer	CG10593	chr2L	8521899	8524991	+
FBgn0016123	0.93	0.51	0.34	0.66	Aph-4	CG1462	chr3R	26874654	26878268	+
FBgn0016126	11.45	45.51	31.65	19.79	CaMKI	CG1495	chr4	466120	474566	+
FBgn0016131	18.82	24.03	21.83	20.52	Cdk4	CG5072	chr2R	12466981	12472953	+
FBgn0016641	16.01	21.73	42.72	39.01	PTP-ER	CG9856	chr2R	17506889	17511947	-
FBgn0016650	0.12	0.11	0.36	0.59	Fsh	CG7665	chr3R	13551248	13558952	+
FBgn0016660	0.07	0.46	0.74	0.75	H15	CG6604	chr2L	5404342	5415928	+
FBgn0016672	15.54	28.53	24.14	31.97	Ipp	CG3028	chr3R	9784473	9786196	+
FBgn0016675	0	0.06	0.14	0.13	Lectin-galC1	CG9976	chr2L	19417447	19418278	+
FBgn0016684	3.08	1.59	1.54	1.96	NaPi-T	CG10207	chr2R	10730216	10733379	-
FBgn0016685	585.35	535.99	336.84	251.94	Nlp	CG7917	chr3R	25830507	25836074	+
FBgn0016687	107.52	100.28	117.62	134.34	Nurf-38	CG4634	chr2R	20446490	20448610	-
FBgn0016691	267.57	131.33	147.05	259.04	Oscp	CG4307	chr3R	11091298	11092412	+
FBgn0016693	26.06	61.13	105.19	160.46	Past1	CG6148	chr3R	8523044	8529871	+
FBgn0016694	0.99	9.27	20.6	5.25	Pdp1	CG17888	chr3L	7807437	7860472	-
FBgn0016696	78.43	62.88	50.68	45.2	Pitslre	CG4268	chr3L	20764637	20770037	+
FBgn0016697	311.11	66.56	57.88	60.45	Prosalpha5	CG10938	chr2R	13300269	13301274	+
FBgn0016698	28.57	16.82	13.43	13.72	Ptpa	CG3289	chr2L	3377008	3378586	+
FBgn0016700	79.97	132.07	94.73	85.87	Rab1	CG3320	chr3R	17091751	17094831	-
FBgn0016701	24.9	24.29	19.65	22.23	Rab4	CG4921	chr2R	13460579	13462484	+
FBgn0016715	1.53	12.57	13.89	32.36	Reg-2	CG3200	chr3L	605165	606558	-
FBgn0016726	957.2	1592.92	1450.81	2164.29	RpL29	CG10071	chr2R	17181275	17181909	+
FBgn0016754	5.31	28.7	23.49	11.25	sba	CG13598	chr3R	19719889	19748695	-
FBgn0016756	98.56	73.72	100.41	165.14	Ubp64E	CG5486	chr3L	5746086	5754602	+
FBgn0016762	19.35	8.56	6.74	12.22	angel	CG12273	chr2R	19581521	19582755	+
FBgn0016792	28	51.39	20.98	11.03	dmt	CG8374	chr3R	5536862	5540397	+
FBgn0016794	25.62	25.28	13.37	9.49	dos	CG1044	chr3L	2589402	2595590	+
FBgn0016797	34.56	107.53	96.77	28.52	fz2	CG9739	chr3L	19135998	19228191	-
FBgn0016917	71.17	65.91	64.18	43.75	Stat92E	CG4257	chr3R	16361405	16378034	-
FBgn0016919	0.04	0.06	0.17	0.57	nompB	CG12548	chr2L	21578319	21589355	-
FBgn0016920	0.04	0.44	0.84	1.58	nompC	CG11020	chr2L	5346237	5365039	+
FBgn0016926	67.6	23.56	32.88	28.32	Pino	CG4710	chr2L	1114652	1128953	-
FBgn0016930	32.97	69.56	85.33	32.8	smi35A	CG4551	chr2L	14184478	14234108	-
FBgn0016940	102.16	61.01	40.85	30.33	snRNP69D	CG10753	chr3L	12726459	12727708	-
FBgn0016970	11.74	17.24	11.14	11.31	l(2)k10201	CG13951	chr2R	5286594	5287404	+
FBgn0016974	1.15	0	0.02	0.11	swaPsi	CR32747	chrX	6255528	6256993	-
FBgn0016975	0.22	0.71	0.97	1.52	stnB	CG12473	chrX	22382558	22406483	-
FBgn0016976	0.22	0.71	0.97	1.52	stnA	CG12500	chrX	22382558	22406483	-
FBgn0016977	31.02	36.83	54.66	5.35	spen	CG18497	chr2L	159034	203251	+
FBgn0016978	125.37	78.4	75.38	57.56	snRNP70K	CG8749	chr2L	6969825	6971736	-
FBgn0016983	170.83	67.92	55.13	42.48	smid	CG8571	chr3L	7374953	7378742	+
FBgn0016984	38.64	42.14	48.84	47.54	sktl	CG9985	chr2R	16714916	16719919	-
